File Reference,Title,RO,Department,Start Date,End Date,PI Name,PI Surname,Tech Product,Type of Tech Product,Open Source?,Description,Year First Provided,Impact,URL
EP/G013403/1,PLATFORM GRANT: Earth Systems Engineering: Sustainable systems engineering for adapting to global change,Newcastle University,,2008-12-01,2014-05-30,Christopher,Kilsby,SHETRAN,Software,No,"SHETRAN is a model for water flow, solute and sediment transport in river catchments.
SHETRAN is a finite-difference model in which the physics-based governing partial differential equations for flow and transport are solved on a three-dimensional grid. 
SHETRAN is a physically-based, spatially-distributed (PBSD) modelling system. There are two download versions of SHETRAN. A version with a Graphical User Interface (GUI) in a Windows environment and the Standard version which uses text based files.",2009,"SHETRAN has been applied worldwide by Newcastle and other research groups including the following:
Case study 1  - Land Use Change and Flood risk
Study of the effect of long-term land use change on flood risk (EA Project SC060092). As part of this work the Dunsop catchment in the forest of Bowland, UK (tributary of the Hodder/ribble) was selected. Preliminary SHETRAN simulations have been carried out for this site.
Case study 2  - Impact of forests on the catchment response for extreme rainfall events
This work is part of the EPIC FORCE project (research.ncl.ac.uk/epicforce/index.htm) focusing on impact of forest management on river basin response for extreme rainfall/snowmelt events. This case study looks at the La Reina (0.35 km2) catchment in Region 10, 41�S, in Chile. This is an intensively monitored research catchment that was forested before the entire basin was logged in January 2001 and then replanted. 
Case study 3  - Wetland Inundation
Three-year study which addressed the issues of water availability for wetland restoration and re-creation.  One of the chosen study sites was Ellerton Ings on the River Derwent in Yorkshire.
Case Study 4 - Soil Moisture Profiles
Field and modelling study to investigate the possible range of water resource impacts associated with woodland on sandstone aquifers. The field site was the Clipstone forest, Nottinghamshire, UK
Case Study 5 - Climate Change in the Yangtze Basin
Shetran simulations of the Yangtze basin to just below the Three gorges Dam at Yichang. Simulations were carried out using the 78 latest CMIP5 scenarios with change factors calculated for the 2040-2070's compared to the 1980-2010's. Part of the Global Secure project (http://research.ncl.ac.uk/globalsecure/about/theme12ceg/)
Case Study 6 - 45 Years of Changes in Forest Hydrology at the Experimental Coalburn Catchment
Coalburn is the longest running forest research catchment in the UK and it provides a unique dataset for looking at the long-term affects of forestry on hydrology. Shetran Simulations were carried out from 1993 - 2010 using hourly measured data as part of the ForeStClim project (http://research.ncl.ac.uk/globalsecure/about/theme12ceg/)
","http://www.ncl.ac.uk/ceser/researchprogramme/software/name,106927,en.html"
EP/G015341/1,"Sonic Characterisation of Water Surface Waves, Turbulence, Mixing and Bed Friction in Shallow Water Flows",University of Bradford,,2009-07-01,2012-06-30,Simon,Tait,Acoustic wave monitor,Detection Devices,,This is a new device which makes used of airborne acoustic waves and measures the instantaneous water surface level in an open channel flow.,2012,"There is a general lack or reliable airborne laboratory or in-situ methods which can be used to measure non-invasively characteristics of a dynamically rough free  surface of a shallow water flow such as the flow velocity, turbulence intensity and hydraulic energy losses. This work presents an alternative, much more accurate airborne acoustical method of roughness height measurement which is being developed in collaboration with ADS LLC (USA) and Yorkshire Water Services.",http://www.adsenv.com/
EP/G015546/1,Contaminant Ingress into Distribution systems (CID),University of Sheffield,,2009-04-06,2012-10-05,Joby,Boxall,Contamiant Ingress Experimental Facility,New/Improved Technique/Technology,,"Large experimental facility for the investigation of intrusion due to transient and sustained low pressures.  Has significant further use for the investigation of transients in distribution systems, and associated research",2010,The majority of UK water companies have now developed training versions of this facility and are reporting significant improvements in levels of serviceability as a result.,
EP/G015627/1,Biologically-Inspired Massively Parallel Architectures - computing beyond a million processors,University of Sheffield,,2009-06-15,2014-12-14,David,Allerton,BIMPA toolset,Software,No,"A set of tools to compiler, emulate, link and load neurological programs for the Spinnaker hardware.",2012,Provision of new software tools for the neuroscience community.,http://bimpa.group.shef.ac.uk/SpineML/index.php/Home
EP/G015775/1,Biologically-Inspired Massively Parallel Architectures - computing beyond a million processors,University of Southampton,,2010-03-01,2014-09-14,Andrew,Brown,Partial Ordered Event Triggered Systems (POETS),Software,Yes,see apt.cs.manchester.ac.uk/projects/SpiNNaker,2010,"see apt.cs.manchester.ac.uk/projects/SpiNNaker
-- this is the correct URL, although it's rejected by the robot in the next box",
EP/G017107/1,Extending the Applications and Improving the Efficiency of Positioning Through the Exploitation of New GNSS Signals,University of Westminster,,2009-05-26,2013-07-31,Izzet,Kale,Multi-mode Multi-Standard atomic clock driven GNSS receiver,Physical Model/Kit,,"Multi-mode Multi-Standard atomic clock driven real-time GNSS receiver with the features of 1) Dual-channel RF front-end for left/right-Hand polarized antennas 2) Fast update rate (down to 500 ms) 3) Multi-constellation (Covering GPS L1/L2C (CDMA), GLONASS G1/G2 (FDMA), GALILEO E1) 4) Correlation outputs (Early/Prompt/Late) at each code epoch (1 to 10 ms) 5) Programmable correlator spacing and loop filter bandwidth",2013,A number of Manufacturers and Researchers have been in touch to ask about the possibility of collaboration and use of our developed prototype,
EP/G020280/1,The joking computer : an interactive language playground,University of Aberdeen,,2009-02-09,2010-10-08,Judith,Masthoff,The Joking Computer,Software,Yes,"The software is a Java program which can run on Windows, GNU/Linux or Mac systems. It is a version of the software developed on this project, and used in all the public installations and workshops organised by the project. It offers a simple, user-friendly interface by which users can control the construction of simple punning riddles, and can find out how the program carries out this task.",2010,"About 1000 downloads, up to 2013.",http://www.abdn.ac.uk/jokingcomputer/download.shtml
EP/G020280/1,The joking computer : an interactive language playground,University of Aberdeen,,2009-02-09,2010-10-08,Judith,Masthoff,The Joking Computer - web version,Webtool/Application,,"This software is the web-based version of the software developed on this project, and used in all the public installations and workshops organised by the project. Implemented in PHP, it offers a simple, user-friendly interface by which users can control the construction of simple punning riddles, and can find out how the program carries out this task.",2010,"Around 200,000 visits from web users.",http://www.abdn.ac.uk/jokingcomputer/joker.shtml
EP/G02085X/1,ConDOR: Consequence-Driven Ontology Reasoning,University of Oxford,,2009-07-01,2012-09-30,Ian,Horrocks,ELK,Software,Yes,ELK is a Description Logic classifier for the OWL 2 EL profile.,2011,"ELK is used to provide reasoning services in Snow Owl, a state-of-the-art authoring platform for clinical terminologies marketed by B2i Healthcare (see http://www.b2international.com/portal/snow-owl). 
According to their product description:
&quot;ELK, Snow Owl's default reasoner, performs description logic classification in parallel on modern multi-core computers. This allows the full international SNOMED CT plus the Australian extensions (830,926 relationships) to be classified and checked for equivalencies in about 10 seconds on a modern desktop computer.&quot;
ELK is also used by the Open Biological and Biomedical Ontologies consortium (OBO), whose OBO &quot;foundry&quot; contains a large number of &quot;orthogonal interoperable reference ontologies in the biomedical domain&quot;. ELK is used in OBO authoring tools, and it is run continuously by the foundry to check that the foundry ontologies are consistent, both individually and when integrated into a single large ontology.",http://www.cs.ox.ac.uk/isg/tools/ELK/
EP/G023212/1,Integrated Spatio-Temporal Data Mining for Quantitative Assessment of Road Network Performance,University College London (UCL),,2009-07-23,2013-01-31,Tao,Cheng,STARIMA - space-time prediction of traffic data,Software,No,This is a package developed in R by the STANDARD team,2011,This has been used for our teaching,
EP/G023212/1,Integrated Spatio-Temporal Data Mining for Quantitative Assessment of Road Network Performance,University College London (UCL),,2009-07-23,2013-01-31,Tao,Cheng,Online Visualisation of LACP Data,Software,No,This provide quick access and visualisation of road journey data which is needed for TfL road surface manager,2012,The prototype has been demonstrated in TfL,
EP/G023212/1,Integrated Spatio-Temporal Data Mining for Quantitative Assessment of Road Network Performance,University College London (UCL),,2009-07-23,2013-01-31,Tao,Cheng,Agent-based Simulation of London Traffic,Software,No,"This product could give live simulation of traffic formulation in central London with real road traffic, layout and capacity, and real origin and destination.",2012,The ABM simulation has been demonstrated in TfL.,
EP/G025177/1,Geometric Abstractions for Scalable Program Analyzers,University of Leeds,,2008-10-01,2009-09-30,Anthony,Cohn,Parma Polyhedral Library version 1.1,Software,Yes,The Parma Polyhedra Library (PPL) provides numerical abstractions especially targeted at applications in the field of analysis and verification of complex systems.,2013,"The PPL was originally released in 2001.
",http://bugseng.com/products/ppl
EP/G025797/1,Trustworthy Voting Systems,University of Surrey,,2009-04-22,2014-04-21,Steve,Schneider,SuVote,Software,Yes,"Backend of a verifiable voting system, for use with a customised front end.  The components include: random ballot form generation; bulletin board peers; web bulletin board; encoding and decoding of votes for processing through a mixnet; utilities.",2014,The software was used in the Victorian State Election November 2014 to capture and process votes.,https://bitbucket.org/tvsproject
EP/G02619X/1,"Platform Grant: Space, Technologies and the Design of the Built Environment",University College London (UCL),,2009-09-01,2015-03-31,Alan,Penn,depthmapX: Open-Source Multi-Platform Spatial Network Analysis Software,Software,Yes,"depthmapX is a multi-platform software platform to perform a set of spatial network analyses designed to understand social processes within the built environment. It works at a variety of scales from building through small urban to whole cities or states. At each scale, the aim of the software is to produce a map of open space elements, connect them via some relationship (for example, intervisibility or overlap) and then perform graph analysis of the resulting network. The objective of the analysis is to derive variables which may have social or experiential significance.
depthmapX
Multi-Platform Spatial Network Analysis Software
View the Project on GitHub
varoudis/depthmapX
Download
ZIP File
Download
TAR Ball
View On
GitHub
Agent based modelling in depthmapX Exosomatic visual agents running on depthmapX.
Get the latest MacOSX and Windows version HERE!
depthmapX is a multi-platform software platform to perform a set of spatial network analyses designed to understand social processes within the built environment. It works at a variety of scales from building through small urban to whole cities or states. At each scale, the aim of the software is to produce a map of open space elements, connect them via some relationship (for example, intervisibility or overlap) and then perform graph analysis of the resulting network. The objective of the analysis is to derive variables which may have social or experiential significance.
Download the source code
$ cd your_code_folder/
$ git clone git://github.com/varoudis/depthmapX.git
If you're using MacOSX or Windows you can also use GitHub for Mac or GitHub for Windows.
depthmapX is using Qt 4 so you need to also download and install Qt libraries 4.8.X and Qt Creator for your operating systems if you want to compile your own version of depthmapX!
Official pre-compiled versions
For the less adventurous, download the latest compiled version and 'unzip' it, then just double-click ... (after version 0.27, Windows and MacOSX users don't need to install any additional libraries)
Betweenness Centrality - Segment Analysis Betweenness Centrality analysis on road central line network - Segment Analysis on depthmapX
Visibility Graph Analysis on depthmapX Preparation for Visibility Graph Analysis on depthmapX
Support or Contact
Having trouble with depthmapX? Check out the depthmapX mailing list on: www.jiscmail.ac.uk/lists/DEPTHMAP.html
Tasos Varoudis, dont spam: varoudis |that weird email symbol| archtech |dot| gr
Tutorials (from older versions but very useful)
Many features are covered in this tutorial by Joao Pinelo. You may also find tutorials for 7.12.00 and 8.15.00 useful.
Introduction to version 10 (4.0MB)
Older tutorials
depthmap basics including VGA import geometry and visibility graph analysis (1.1MB)
depthmap axial analysis import, generate or hand-draw an axial map, including linking and unlinking lines (1.3MB)
depthmap convex analysis hand-draw a convex map, including linking spaces and analysing the map (0.8MB)
depthmap data analysis entering observation data, pushing values to layers, showing scatter plots, calculating correlation coefficients and exporting to spreadsheet programs (1.9MB)
Advanced depthmap presentation discussion of advanced segment analysis topics in depthmap. Note that &quot;Topomet&quot; is included with depthmap and does not need to be installed separately (1.8MB)
Extra Materials - DXF files used in these tutorials are:
gallery.dxf barnsbury_centre.dxf barnsbury_axial.dxf Barnsbury original map data copyright © Cambridge University Press 1984, reproduced here with kind permission. Original drawings by J Hanson, digitised by A Turner.
In addition gallery.zip contains a VGA analysis of gallery.dxf, and example mif/mid files.
A Researcher's Handbook
Depthmap 4 - A Researcher's Handbook (revision 1) (pdf)
Scripting
Scripts can be used to create user-defined formulae and simple graph measures. These examples are used in the SalaScript Manual.
total_depth.sala Calculate total depth for each node in a VGA, axial or convex map shortest_cycle.sala Calculate the shortest cycle for each node in an axial or convex map
More about depthmapX and the theories behind it
depthmapX is dedicated to Alasdair Turner.
At the building or small urban scale, depthmapX can be used to assess the visual accessibility in a number of ways. It can produce point isovists, that is, polygons representing the visually accessible area from a location, along with measures of those polygons (such as perimeter, area and so on), or it can further join a dense grid of isovists into a visibility graph of intervisible points (with graphs of up to about 1000000 point locations). The visibility graph may then be analysed directly using graph measures, or used as the core of an agent-based analysis. In the agent-based analysis a number of software agents representing pedestrians are released into the environment. Each software agent is able to access the visual accessibility information for its current location from the visibility graph, and this informs its choice of next destination. The numbers of agents passing through gates can be counted, and compared to actual numbers of pedestrians passing through gates.
At the small to medium urban scale, depthmapX can be used to derive an 'axial map' of a layout. That is, derive a reduced straight-line network of the open space in an environment. The axial map has been the staple of space syntax research for many years, but the mathematical derivation of it is novel. The automatic derivation allows an objective map for research into city form and function. Once the map has been generated, it may be analysed using graph measures, and the measures may be transferred to gate layers in order to compare with indicators of pedestrian or social behaviour. For larger systems where the derivation algorithm becomes cumbersome, pre-drawn axial maps may be imported.
Axial maps may be broken into segment maps, or segment maps, such as road-centre line maps, may be imported directly. These may be analysed using a variety of techniques, such as according to angular separation, road distance, or segment steps. For example, number of shortest angular paths through a segment may be calculated, or the average road distance from each segment to all others may be calculated.
",2012,"The software covers two separate models for spatial analysis; the Space Syntax model and the Agent model. These two models are theoretically different in spite of the fact that they agree on the principal relationship between space and society. They start from different representations, and they diverge at the point of modelling. The agent model represents an emergent process that leads to form aggregate patterns of movement activity. Through its ability to display movement data in relation to aggregate patterns of agents, depthmapX's agents have proven to be an effective tool to simulate natural movement. Space Syntax builds on a synchronic reduction of spatial relationships in the built environment. Mapping this reduction into networks of longest and fewest lines, depthmapX's axial and segment analyses are powerful methods for predicting to-movement and through-movement in cities. On the scale of buildings, spatial analysis using depthmapX can reveal relational structures that convey how social organisations occupy spaces. depthmapX is a platform that brings together these too models to be tested in an analytical approach. It also affords experimental and developer approaches.
The current usage of this software has proven to engage different types of academic communities that have a language in common with the notion of space. These communities range between planners, designers, social scientists, anthropologists, crime scientists, geographers, computer scientists and economists. In general terms, all what brings together the social and the spatial. In different contexts, spatial modelling using depthmapX can help forming assumptions about social behaviour in space and model spatial and social relationships. Moreover, depthmapX significance exceeds its common usage as an analytical tool to understand the built environment on different scales and go beyond that to act as a design and decision making support tool. The intelligent usage of software will deploy it in supporting design process with a knowledge-base that is suggested to make designs more responsive towards the real settings of the built environment. In simple terms, depthmapX is increasingly used as a tool for design thinking. By using it efficiently, the software helps on sparing time and cost, particularly on the scale of complex buildings and large scale urban planning.",http://varoudis.github.io/depthmapX/
